protein.key,protein.Entry,protein.Accession,protein.Description,protein.dataBaseType,protein.score,protein.falsePositiveRate,protein.avgMass,protein.MatchedProducts,protein.matchedPeptides,protein.digestPeps,protein.seqCover(%),protein.MatchedPeptideIntenSum,protein.top3MatchedPeptideIntenSum,protein.MatchedProductIntenSum,protein.fmolOnColumn,protein.ngramOnColumn,protein.AutoCurate,protein.Key_ForHomologs
87917,A0A0U1V1F4_HUMAN,A0A0U1V1F4,Killer cell immunoglobulin-like receptor OS=Homo sapiens GN=KIR3DL2 PE=4 SV=1,Regular,604.2912,0.00,50900.6030,21,12,30,16.48,81130,0,11849,,,Green,1036 22250 22619 23664 26175 26400 26528 26556 27115 28290 29623 30303 32146 33500 35038 38330 38397 40628 40980 41842 42007 42906 44541 46636 47480 47898 48882 48884 49272 50545 53002 53105 54039 54709 56080 57179 58259 58436 60812 65057 66311 66562 68668 69055 70373 70443 73505 73989 74064 76402 78573 78785 78990 80682 81915 82333 86277 88174 88496 89213 95075 95645 96104 98528 98544 98716 102702 104845 105152 105764 106546 108678 109980 110150 110784 112240 113351 117384 122080 122258 123457 123830 129361 130146 130990 131535 132381 135372 136055 139580 139898 139931 142671 143019 143291 143902 148150 149787 150208 155258
54039,A0A110BGM1_HUMAN,A0A110BGM1,KIR3DL2 OS=Homo sapiens GN=KIR3DL2 PE=4 SV=1,Regular,604.2912,0.00,50898.6739,21,12,30,16.48,81130,0,11849,,,Green,1036 22250 22619 23664 26175 26400 26528 26556 27115 28290 29623 30303 32146 33500 35038 38330 38397 40628 40980 41842 42007 42906 44541 46636 47480 47898 48882 48884 49272 50545 53002 53105 54709 56080 57179 58259 58436 60812 65057 66311 66562 68668 69055 70373 70443 73505 73989 74064 76402 78573 78785 78990 80682 81915 82333 86277 87917 88174 88496 89213 95075 95645 96104 98528 98544 98716 102702 104845 105152 105764 106546 108678 109980 110150 110784 112240 113351 117384 122080 122258 123457 123830 129361 130146 130990 131535 132381 135372 136055 139580 139898 139931 142671 143019 143291 143902 148150 149787 150208 155258
95645,A0A0U1WNF6_HUMAN,A0A0U1WNF6,Killer cell immunoglobulin-like receptor OS=Homo sapiens GN=KIR3DL2 PE=4 SV=1,Regular,603.9941,0.00,50831.5804,21,11,30,16.48,74387,0,11704,,,Green,1036 22250 22619 23664 26175 26400 26528 26556 27115 28290 29623 30303 32146 33500 35038 38330 38397 40628 40980 41842 42007 42906 44541 46636 47480 47898 48882 48884 49272 50545 53002 53105 54039 54709 56080 57179 58259 58436 60812 65057 66311 66562 68668 69055 70373 70443 73505 73989 74064 76402 78573 78785 78990 80682 81915 82333 86277 87917 88174 88496 89213 95075 96104 98528 98544 98716 102702 104845 105152 105764 106546 108678 109980 110150 110784 112240 113351 117384 122080 122258 123457 123830 129361 130146 130990 131535 132381 135372 136055 139580 139898 139931 142671 143019 143291 143902 148150 149787 150208 155258
30303,A0A0U5FL96_HUMAN,A0A0U5FL96,KIR3DL2 OS=Homo sapiens GN=KIR3DL2 PE=4 SV=1,Regular,603.9941,0.00,50908.6886,21,11,30,16.48,74387,0,11704,,,Green,1036 22250 22619 23664 26175 26400 26528 26556 27115 28290 29623 32146 33500 35038 38330 38397 40628 40980 41842 42007 42906 44541 46636 47480 47898 48882 48884 49272 50545 53002 53105 54039 54709 56080 57179 58259 58436 60812 65057 66311 66562 68668 69055 70373 70443 73505 73989 74064 76402 78573 78785 78990 80682 81915 82333 86277 87917 88174 88496 89213 95075 95645 96104 98528 98544 98716 102702 104845 105152 105764 106546 108678 109980 110150 110784 112240 113351 117384 122080 122258 123457 123830 129361 130146 130990 131535 132381 135372 136055 139580 139898 139931 142671 143019 143291 143902 148150 149787 150208 155258
136055,A0A0U4YTC8_HUMAN,A0A0U4YTC8,KIR3DL2 OS=Homo sapiens GN=KIR3DL2 PE=4 SV=1,Regular,603.6329,0.00,50886.6599,20,12,29,16.48,71802,0,10727,,,Green,1036 22250 22619 23664 26175 26400 26528 26556 27115 28290 29623 30303 32146 33500 35038 38330 38397 40628 40980 41842 42007 42906 44541 46636 47480 47898 48882 48884 49272 50545 53002 53105 54039 54709 56080 57179 58259 58436 60812 65057 66311 66562 68668 69055 70373 70443 73505 73989 74064 76402 78573 78785 78990 80682 81915 82333 86277 87917 88174 88496 89213 95075 95645 96104 98528 98544 98716 102702 104845 105152 105764 106546 108678 109980 110150 110784 112240 113351 117384 122080 122258 123457 123830 129361 130146 130990 131535 132381 135372 139580 139898 139931 142671 143019 143291 143902 148150 149787 150208 155258
76402,A0A0U5FT04_HUMAN,A0A0U5FT04,KIR3DL2 OS=Homo sapiens GN=KIR3DL2 PE=4 SV=1,Regular,603.6329,0.00,50842.6531,20,12,30,16.48,71802,0,10727,,,Green,1036 22250 22619 23664 26175 26400 26528 26556 27115 28290 29623 30303 32146 33500 35038 38330 38397 40628 40980 41842 42007 42906 44541 46636 47480 47898 48882 48884 49272 50545 53002 53105 54039 54709 56080 57179 58259 58436 60812 65057 66311 66562 68668 69055 70373 70443 73505 73989 74064 78573 78785 78990 80682 81915 82333 86277 87917 88174 88496 89213 95075 95645 96104 98528 98544 98716 102702 104845 105152 105764 106546 108678 109980 110150 110784 112240 113351 117384 122080 122258 123457 123830 129361 130146 130990 131535 132381 135372 136055 139580 139898 139931 142671 143019 143291 143902 148150 149787 150208 155258
149787,A0A0U5FM20_HUMAN,A0A0U5FM20,KIR3DL2 OS=Homo sapiens GN=KIR3DL2 PE=4 SV=1,Regular,595.6262,0.00,50940.8315,21,12,30,16.48,27350,0,8420,,,Green,1036 22250 22619 23664 26175 26400 26528 26556 27115 28290 29623 30303 32146 33500 35038 38330 38397 40628 40980 41842 42007 42906 44541 46636 47480 47898 48882 48884 49272 50545 53002 53105 54039 54709 56080 57179 58259 58436 60812 65057 66311 66562 68668 69055 70373 70443 73505 73989 74064 76402 78573 78785 78990 80682 81915 82333 86277 87917 88174 88496 89213 95075 95645 96104 98528 98544 98716 102702 104845 105152 105764 106546 108678 109980 110150 110784 112240 113351 117384 122080 122258 123457 123830 129361 130146 130990 131535 132381 135372 136055 139580 139898 139931 142671 143019 143291 143902 148150 150208 155258
143902,A0A0U4YTB3_HUMAN,A0A0U4YTB3,KIR3DL2 OS=Homo sapiens GN=KIR3DL2 PE=4 SV=1,Regular,595.6262,0.00,50911.7070,21,12,30,16.48,27350,0,8420,,,Green,1036 22250 22619 23664 26175 26400 26528 26556 27115 28290 29623 30303 32146 33500 35038 38330 38397 40628 40980 41842 42007 42906 44541 46636 47480 47898 48882 48884 49272 50545 53002 53105 54039 54709 56080 57179 58259 58436 60812 65057 66311 66562 68668 69055 70373 70443 73505 73989 74064 76402 78573 78785 78990 80682 81915 82333 86277 87917 88174 88496 89213 95075 95645 96104 98528 98544 98716 102702 104845 105152 105764 106546 108678 109980 110150 110784 112240 113351 117384 122080 122258 123457 123830 129361 130146 130990 131535 132381 135372 136055 139580 139898 139931 142671 143019 143291 148150 149787 150208 155258
135372,A0A0U1WN35_HUMAN,A0A0U1WN35,Killer cell immunoglobulin-like receptor OS=Homo sapiens GN=KIR3DL2 PE=4 SV=1,Regular,595.6262,0.00,50925.7638,21,12,29,16.48,27350,0,8420,,,Green,1036 22250 22619 23664 26175 26400 26528 26556 27115 28290 29623 30303 32146 33500 35038 38330 38397 40628 40980 41842 42007 42906 44541 46636 47480 47898 48882 48884 49272 50545 53002 53105 54039 54709 56080 57179 58259 58436 60812 65057 66311 66562 68668 69055 70373 70443 73505 73989 74064 76402 78573 78785 78990 80682 81915 82333 86277 87917 88174 88496 89213 95075 95645 96104 98528 98544 98716 102702 104845 105152 105764 106546 108678 109980 110150 110784 112240 113351 117384 122080 122258 123457 123830 129361 130146 130990 131535 132381 136055 139580 139898 139931 142671 143019 143291 143902 148150 149787 150208 155258
110784,A0A110BIQ8_HUMAN,A0A110BIQ8,KIR3DL2 OS=Homo sapiens GN=KIR3DL2 PE=4 SV=1,Regular,595.6262,0.00,50930.7833,21,12,30,16.48,27350,0,8420,,,Green,1036 22250 22619 23664 26175 26400 26528 26556 27115 28290 29623 30303 32146 33500 35038 38330 38397 40628 40980 41842 42007 42906 44541 46636 47480 47898 48882 48884 49272 50545 53002 53105 54039 54709 56080 57179 58259 58436 60812 65057 66311 66562 68668 69055 70373 70443 73505 73989 74064 76402 78573 78785 78990 80682 81915 82333 86277 87917 88174 88496 89213 95075 95645 96104 98528 98544 98716 102702 104845 105152 105764 106546 108678 109980 110150 112240 113351 117384 122080 122258 123457 123830 129361 130146 130990 131535 132381 135372 136055 139580 139898 139931 142671 143019 143291 143902 148150 149787 150208 155258
